,County,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population
191,Alameda County,1659824,1666596,1668412,1662323,"1,648,556"
192,Alpine County,1116,1081,1113,1119,"1,235"
193,Amador County,38549,39349,39693,40083,"41,259"
194,Butte County,228700,230330,218726,212744,"208,309"
195,Calaveras County,45658,45747,46119,46308,"46,221"
196,Colusa County,21558,21389,21474,21558,"21,917"
197,Contra Costa County,1145623,1150840,1152883,1152333,"1,161,413"
198,Del Norte County,27383,27793,27903,27968,"28,100"
199,El Dorado County,188793,190925,193057,192925,"193,221"
200,Fresno County,984726,991298,997847,1000918,"1,013,581"
201,Glenn County,27876,27899,28445,28283,"28,805"
202,Humboldt County,136710,136502,135839,134977,"136,310"
203,Imperial County,181250,181062,180439,180267,"179,851"
204,Inyo County,17819,17894,17993,18046,"18,970"
205,Kern County,887316,893618,898898,901362,"917,673"
206,Kings County,149542,151221,152727,152692,"153,443"
207,Lake County,64132,64394,64463,64479,"68,766"
208,Lassen County,30919,30658,30694,30016,"33,159"
209,Los Angeles County,10092365,10061533,10011602,9943046,"9,829,544"
210,Madera County,155079,156373,156717,157761,"159,410"
211,Marin County,259975,260091,259085,257332,"260,206"
212,Mariposa County,17461,17361,17117,17160,"17,147"
213,Mendocino County,87690,87549,86932,86061,"91,305"
214,Merced County,270837,273733,277114,279252,"286,461"
215,Modoc County,8864,8816,8866,8763,"8,661"
216,Mono County,14333,14400,14450,14534,"13,247"
217,Monterey County,433803,433359,433380,430906,"437,325"
218,Napa County,139818,138620,137678,135965,"136,207"
219,Nevada County,99421,99472,99648,99606,"103,487"
220,Orange County,3174159,3175579,3170851,3166857,"3,167,809"
221,Placer County,385348,392735,398918,402950,"412,300"
222,Plumas County,18680,18830,19052,18967,"19,915"
223,Riverside County,2413058,2443221,2465569,2489188,"2,458,395"
224,Sacramento County,1527984,1539550,1551660,1559146,"1,588,921"
225,San Benito County,60190,61415,62803,64055,"66,677"
226,San Bernardino County,2149847,2165627,2177279,2189183,"2,194,710"
227,San Diego County,3319019,3332483,3330459,3332427,"3,286,069"
228,San Francisco County,877471,879676,878826,866606,"815,201"
229,San Joaquin County,743286,752590,761571,767967,"789,410"
230,San Luis Obispo County,282473,283250,282728,282249,"283,159"
231,San Mateo County,768658,768410,764810,758308,"737,888"
232,Santa Barbara County,444998,445137,445464,444766,"446,475"
233,Santa Clara County,1932251,1931985,1922411,1907105,"1,885,508"
234,Santa Cruz County,274865,273713,272870,269925,"267,792"
235,Shasta County,179403,179666,179645,179027,"182,139"
236,Sierra County,3008,2961,2959,2920,"3,283"
237,Siskiyou County,43647,43624,43663,43245,"44,118"
238,Solano County,443554,445931,447434,446935,"451,716"
239,Sonoma County,502203,497221,492318,489819,"485,887"
240,Stanislaus County,544494,547855,549761,550081,"552,999"
241,Sutter County,96161,96348,96910,96385,"99,063"
242,Tehama County,63827,63904,65186,64494,"65,498"
243,Trinity County,12727,12598,12337,12216,"16,060"
244,Tulare County,462072,464279,465751,468680,"477,054"
245,Tuolumne County,53953,54250,54290,54515,"55,810"
246,Ventura County,848264,847222,844203,841387,"839,784"
247,Yolo County,218470,220082,220019,219728,"216,986"
248,Yuba County,76575,77418,78549,80160,"83,421"
