,REGNAME,CTYNAME,Median House Price 2017,Median House Price 2018,Median House Price 2019,Median House Price 042020,Median House Price 2020
196,West Region,Alameda County,600623,605146,610046,614728,616277
197,West Region,Alpine County,1778,1780,1785,1787,1788
198,West Region,Amador County,18203,18248,18310,18349,18362
199,West Region,Butte County,99177,99711,85787,86331,86511
200,West Region,Calaveras County,27988,28139,28239,28269,28279
201,West Region,Colusa County,8119,8160,8201,8233,8244
202,West Region,Contra Costa County,412936,414876,417180,418804,419341
203,West Region,Del Norte County,11313,11336,11372,11421,11437
204,West Region,El Dorado County,91057,91874,92259,92560,92659
205,West Region,Fresno County,330920,333175,335725,337705,338360
206,West Region,Glenn County,11129,11218,11304,11336,11346
207,West Region,Humboldt County,62776,63011,63244,63413,63469
208,West Region,Imperial County,57558,57861,58151,58388,58467
209,West Region,Inyo County,9513,9521,9535,9541,9543
210,West Region,Kern County,297436,298976,300768,302527,303109
211,West Region,Kings County,46016,46290,46615,46866,46949
212,West Region,Lake County,34512,34637,34407,34454,34470
213,West Region,Lassen County,12750,12758,12769,12774,12776
214,West Region,Los Angeles County,3539044,3560034,3581695,3595013,3599420
215,West Region,Madera County,50205,50390,50636,50957,51063
216,West Region,Marin County,112145,112345,112461,112614,112665
217,West Region,Mariposa County,10516,10475,10522,10571,10587
218,West Region,Mendocino County,40923,40656,40865,40993,41035
219,West Region,Merced County,85522,86417,87407,88834,89306
220,West Region,Modoc County,5253,5258,5263,5265,5266
221,West Region,Mono County,14052,14082,14131,14175,14190
222,West Region,Monterey County,141206,141801,142519,142985,143139
223,West Region,Napa County,55644,55157,55223,55275,55292
224,West Region,Nevada County,53641,53855,54068,54395,54503
225,West Region,Orange County,1092124,1102024,1110623,1116052,1117849
226,West Region,Placer County,163659,166189,168544,170084,170594
227,West Region,Plumas County,15830,15871,15910,15936,15944
228,West Region,Riverside County,837773,844373,851995,857897,859850
229,West Region,Sacramento County,568772,572357,576768,579846,580865
230,West Region,San Benito County,18722,19165,19655,19977,20084
231,West Region,San Bernardino County,717732,721810,725211,727531,728299
232,West Region,San Diego County,1206588,1215560,1223945,1230695,1232928
233,West Region,San Francisco County,395613,398990,402531,404567,405241
234,West Region,San Joaquin County,242209,244960,247785,250139,250918
235,West Region,San Luis Obispo County,121344,122223,123216,123816,124014
236,West Region,San Mateo County,277619,278650,280078,280869,281131
237,West Region,Santa Barbara County,158106,159374,160722,161497,161754
238,West Region,Santa Clara County,664930,669712,673019,676239,677305
239,West Region,Santa Cruz County,105550,105778,106023,106193,106249
240,West Region,Shasta County,78639,78796,78132,78243,78280
241,West Region,Sierra County,2342,2347,2352,2353,2353
242,West Region,Siskiyou County,24134,24190,24226,24257,24267
243,West Region,Solano County,158166,159185,160100,160778,161002
244,West Region,Sonoma County,208462,204265,205525,206216,206444
245,West Region,Stanislaus County,181634,182203,182786,183360,183550
246,West Region,Sutter County,34355,34383,34454,34539,34567
247,West Region,Tehama County,27577,27637,27676,27700,27708
248,West Region,Trinity County,8839,8913,8950,8968,8974
249,West Region,Tulare County,148710,149976,151360,152483,152855
250,West Region,Tuolumne County,31515,31589,31649,31696,31712
251,West Region,Ventura County,288440,289337,290348,291261,291563
252,West Region,Yolo County,77939,78553,79174,79701,79875
253,West Region,Yuba County,28308,28481,28849,29210,29330
